age,diet,education,ethnicity,height,income,job,last_online,location,pets,religion,sex,sign,smokes,speaks,status
22,strictly anything,working on college/university,"asian, white",75,-1,transportation,2012-06-28-20-30,"south san francisco, california",likes dogs and likes cats,agnosticism and very serious about it,m,gemini,sometimes,english,single
35,mostly other,working on space camp,white,70,80000,hospitality / travel,2012-06-29-21-41,"oakland, california",likes dogs and likes cats,agnosticism but not too serious about it,m,cancer,no,"english (fluently), spanish (poorly), french (poorly)",single
38,anything,graduated from masters program,,68,-1,,2012-06-27-09-10,"san francisco, california",has cats,,m,pisces but it doesn&rsquo;t matter,no,"english, french, c++",available
23,vegetarian,working on college/university,white,71,20000,student,2012-06-28-14-22,"berkeley, california",likes cats,,m,pisces,no,"english, german (poorly)",single
29,,graduated from college/university,"asian, black, other",66,-1,artistic / musical / writer,2012-06-27-21-26,"san francisco, california",likes dogs and likes cats,,m,aquarius,no,english,single
29,mostly anything,graduated from college/university,white,67,-1,computer / hardware / software,2012-06-29-19-18,"san francisco, california",likes cats,atheism,m,taurus,no,"english (fluently), chinese (okay)",single
32,strictly anything,graduated from college/university,"white, other",65,-1,,2012-06-25-20-45,"san francisco, california",likes dogs and likes cats,,f,virgo,,english,single
31,mostly anything,graduated from college/university,white,65,-1,artistic / musical / writer,2012-06-29-12-30,"san francisco, california",likes dogs and likes cats,christianity,f,sagittarius,no,"english, spanish (okay)",single
24,strictly anything,graduated from college/university,white,67,-1,,2012-06-29-23-39,"belvedere tiburon, california",likes dogs and likes cats,christianity but not too serious about it,f,gemini but it doesn&rsquo;t matter,when drinking,english,single
37,mostly anything,working on two-year college,white,65,-1,student,2012-06-28-21-08,"san mateo, california",likes dogs and likes cats,atheism and laughing about it,m,cancer but it doesn&rsquo;t matter,no,english (fluently),single
35,mostly anything,,white,70,-1,,2012-06-04-14-59,"san francisco, california",,,m,taurus,yes,english,available
28,mostly anything,graduated from college/university,white,72,40000,banking / financial / real estate,2012-05-22-17-05,"daly city, california",likes cats,christianity and very serious about it,m,leo but it doesn&rsquo;t matter,no,"english (fluently), sign language (poorly)",seeing someone
24,,,white,72,-1,entertainment / media,2012-05-28-21-28,"san francisco, california",,other,m,taurus,,english,single
30,mostly anything,graduated from high school,white,66,30000,sales / marketing / biz dev,2012-06-13-16-06,"san francisco, california",has dogs and likes cats,christianity but not too serious about it,f,,no,english,single
29,mostly anything,working on college/university,"hispanic / latin, white",62,50000,other,2012-06-29-08-55,"san leandro, california",likes dogs and has cats,catholicism,f,taurus,no,english,single
39,strictly anything,graduated from college/university,white,65,-1,medicine / health,2012-06-29-22-09,"san francisco, california",likes dogs and has cats,atheism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)",single
33,,working on masters program,white,70,-1,entertainment / media,2012-06-29-16-08,"oakland, california",likes dogs and likes cats,,m,pisces but it doesn&rsquo;t matter,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)",single
26,,working on college/university,hispanic / latin,64,-1,banking / financial / real estate,2012-06-29-21-17,"san francisco, california",,,f,aries and it&rsquo;s fun to think about,no,english,single
31,mostly vegetarian,graduated from space camp,white,71,-1,medicine / health,2012-06-29-04-04,"san francisco, california",likes dogs and likes cats,christianity,m,libra but it doesn&rsquo;t matter,no,english (fluently),single
33,mostly anything,graduated from masters program,white,72,-1,science / tech / engineering,2012-06-27-21-41,"san francisco, california",likes dogs and likes cats,catholicism but not too serious about it,m,pisces and it&rsquo;s fun to think about,no,english (fluently),single
27,mostly anything,graduated from college/university,white,67,-1,sales / marketing / biz dev,2012-06-26-20-40,"san francisco, california",likes dogs and dislikes cats,catholicism,f,libra,no,english (fluently),single
22,,working on college/university,,67,-1,student,2012-06-15-22-56,"san francisco, california",likes dogs and likes cats,catholicism and somewhat serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (okay)",single
30,mostly anything,graduated from college/university,white,69,-1,executive / management,2012-06-28-15-22,"san francisco, california",likes dogs and likes cats,agnosticism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)",single
30,strictly vegan,graduated from college/university,white,71,-1,education / academia,2012-05-17-20-23,"san francisco, california",likes dogs and likes cats,atheism and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,english,single
33,strictly anything,graduated from college/university,white,73,-1,artistic / musical / writer,2012-06-29-21-32,"oakland, california",likes cats,other,m,scorpio and it matters a lot,sometimes,english,single
28,anything,graduated from college/university,"asian, white",70,-1,medicine / health,2012-06-26-01-27,"atherton, california",has dogs,,m,gemini and it&rsquo;s fun to think about,no,english,single
22,mostly anything,working on college/university,"pacific islander, white",72,-1,clerical / administrative,2012-06-10-01-37,"san francisco, california",likes dogs and dislikes cats,catholicism and laughing about it,m,leo and it&rsquo;s fun to think about,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)",single
22,anything,,asian,67,-1,other,2012-06-25-23-06,"oakland, california",has dogs and dislikes cats,agnosticism and laughing about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently), thai (poorly)",single
30,,graduated from masters program,,74,-1,,2012-06-19-01-22,"san francisco, california",likes dogs and likes cats,atheism and laughing about it,m,,no,"english, spanish (poorly)",single
32,,graduated from college/university,white,68,-1,other,2012-06-29-07-01,"san francisco, california",,agnosticism and laughing about it,m,leo but it doesn&rsquo;t matter,no,english,single
27,anything,working on college/university,white,64,-1,other,2011-11-10-13-15,"san francisco, california",,agnosticism,f,gemini,trying to quit,"english, spanish (poorly)",single
27,anything,graduated from college/university,,72,-1,science / tech / engineering,2012-06-27-23-16,"san francisco, california",likes dogs,atheism,m,,no,english,single
38,mostly anything,graduated from college/university,white,67,-1,computer / hardware / software,2012-05-25-00-04,"san leandro, california",,christianity,f,libra,no,english,single
20,mostly vegetarian,working on college/university,,60,-1,hospitality / travel,2012-06-30-00-00,"san rafael, california",has dogs and likes cats,,f,cancer,no,"english (fluently), spanish (fluently)",single
27,strictly anything,graduated from college/university,white,69,-1,entertainment / media,2012-06-24-22-10,"san francisco, california",likes dogs and likes cats,atheism and somewhat serious about it,m,sagittarius but it doesn&rsquo;t matter,when drinking,english,single
26,,,white,69,-1,banking / financial / real estate,2012-06-27-00-32,"san francisco, california",,,m,,,"english, russian",single
32,mostly anything,graduated from college/university,white,69,-1,science / tech / engineering,2012-06-28-09-28,"san francisco, california",likes dogs and dislikes cats,buddhism but not too serious about it,m,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)",single
25,mostly anything,working on college/university,"hispanic / latin, white",69,-1,other,2012-06-28-12-57,"oakland, california",likes dogs and likes cats,,m,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (poorly)",single
27,,,,63,-1,entertainment / media,2012-06-29-17-20,"walnut creek, california",,,f,libra,,english,single
35,,graduated from college/university,white,74,-1,computer / hardware / software,2012-06-30-00-01,"san rafael, california",,,m,,no,english,single
30,,graduated from masters program,,76,-1,computer / hardware / software,2012-06-29-22-56,"menlo park, california",likes cats,agnosticism,m,,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)",single
35,strictly anything,graduated from college/university,"black, white",72,-1,,2012-06-30-00-01,"oakland, california",,agnosticism,m,pisces,no,english,single
30,strictly anything,graduated from masters program,white,75,-1,artistic / musical / writer,2012-03-19-17-41,"berkeley, california",,other but not too serious about it,m,gemini but it doesn&rsquo;t matter,no,"english, indonesian (fluently)",single
40,,graduated from college/university,white,71,60000,construction / craftsmanship,2012-06-30-00-01,"san francisco, california",likes dogs,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)",single
29,anything,graduated from masters program,white,66,-1,other,2012-06-10-13-28,"san francisco, california",has cats,other,f,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)",single
27,mostly anything,college/university,pacific islander,69,-1,education / academia,2012-06-28-18-09,"oakland, california",,catholicism and somewhat serious about it,m,aquarius,,"english (fluently), tagalog (fluently)",single
27,mostly anything,graduated from masters program,,73,-1,,2012-06-29-07-09,"san francisco, california",,,m,,,"english (fluently), swedish (fluently), french (poorly)",single
28,anything,,white,70,-1,artistic / musical / writer,2012-06-25-15-06,"san francisco, california",,agnosticism and laughing about it,m,libra,no,english (okay),single
31,strictly anything,dropped out of space camp,,67,1000000,artistic / musical / writer,2012-06-30-00-01,"san francisco, california",,,f,,no,"english (fluently), belarusan, gujarati, lisp, russian (fluently)",single
